Attraction,Themes,Tour Destination,City
Franz Kafka Museum,"Museum,",Franz Kafka Museum,Prague
Frasassi Caves (Grotte di Frasassi),,Frasassi Caves (Grotte di Frasassi),Umbria
Fraser Island,"World Heritage Site,",Fraser Island,"Gold Coast, Queensland"
Frasers Hill,"Outdoor Activities,",Frasers Hill,Hill Resorts
Fraumünster Church,,Fraumünster Church,Zurich
Frederico de Freitas Museum,"Museum,",Frederico de Freitas Museum,Madeira
Freedom Schooner Amistad,,Freedom Schooner Amistad,New Haven
Freedom Trail,"Museum,National Park,",Freedom Trail,Boston
Freetown Christiania,,Freetown Christiania,Copenhagen
Freiburg,,Freiburg,The Black Forest
Fremantle,,Fremantle,Perth
Fremont Street Experience,,Fremont Street Experience,Las Vegas
French Quarter,,French Quarter,New Orleans
Freud Museum,"Museum,",Freud Museum,Vienna
Freudenstadt,"Outdoor Activities,",Freudenstadt,The Black Forest
Friday Mosque (Masjid Jamek),,Friday Mosque (Masjid Jamek),Kuala Lumpur
Frigate Bay Peninsula,"Water Sports,",Frigate Bay Peninsula,St Kitts
Front Street (Voorstraat),"Museum,",Front Street (Voorstraat),Philipsburg
Fuerte San Felipe,"Museum,",Fuerte San Felipe,Amber Coast
Fuerteventura Oasis Park,"Outdoor Activities,",Fuerteventura Oasis Park,Fuerteventura
Fukuoka Asian Art Museum,"Museum,",Fukuoka Asian Art Museum,Fukuoka
Funchal Cathedral,,Funchal Cathedral,Madeira
Fundazzle,,Fundazzle,Beijing
Funicular,,Funicular,Quebec City
Gaborone Game Reserve,,Gaborone Game Reserve,Gaborone
Gaciosa,,Gaciosa,The Azores
Galata Tower,,Galata Tower,Istanbul
Galbi Restaurants,,Galbi Restaurants,Seoul
Galeries Royales Saint Hubert,,Galeries Royales Saint Hubert,Brussels
Galicia Jewish Museum,"Museum,",Galicia Jewish Museum,Krakow
Galileo Galilei Planetarium,"Museum,",Galileo Galilei Planetarium,Buenos Aires
Galle,"Museum,World Heritage Site,",Galle,Matara
Galleria Regionale,"Museum,",Galleria Regionale,Sicily
Gallerie Accademia,"Museum,",Gallerie Accademia,Venice
Gallery of Modern Art,"Museum,",Gallery of Modern Art,Glasgow
Galta Monkey Temple (Galtaji),,Galta Monkey Temple (Galtaji),Jaipur
Gamla Uppsala,"Museum,",Gamla Uppsala,Uppsala
Gan Hashlosha National Park (Sahne),"Museum,National Park,",Gan Hashlosha National Park (Sahne),Galilee
Garachico,,Garachico,Tenerife
Gardens,,Gardens,Bridgetown
Gardens by the Bay,,Gardens by the Bay,Singapore
Gardiner Museum of Ceramics,"Museum,",Gardiner Museum of Ceramics,Toronto
Garibaldis House,"Museum,",Garibaldis House,Sardinia
Garrotxa Nature Reserve,"Sky Activities,",Garrotxa Nature Reserve,Costa Brava
Gastown,,Gastown,Vancouver
Gateway Arch,"Museum,",Gateway Arch,St Louis
Gatineau Park,,Gatineau Park,Ottawa
Gatorland,,Gatorland,Orlando
Gediminas Castle,"Museum,World Heritage Site,",Gediminas Castle,Vilnius
Gelendzhik,"Outdoor Activities,",Gelendzhik,Sochi
Gellert Hill,"Museum,",Gellert Hill,Budapest
Gendarmenmarkt,,Gendarmenmarkt,Berlin
Genoa Aquarium,,Genoa Aquarium,Genoa
Genting Highlands,,Genting Highlands,Hill Resorts
Georgia Aquarium,,Georgia Aquarium,Atlanta
Georgia Mountains,"National Park,Outdoor Activities,",Georgia Mountains,Atlanta
Georgia OKeeffe Museum,"Museum,",Georgia OKeeffe Museum,Santa Fe
German Clock Museum,"Museum,",German Clock Museum,The Black Forest
Getty Center,"Museum,",Getty Center,Los Angeles
Getty Villa,,Getty Villa,Los Angeles
Gettysburg National Military Park,,Gettysburg National Military Park,Philadelphia
Geylang,,Geylang,Singapore
Geysir,"Museum,",Geysir,Reykjavik
Ggantija Temples,"World Heritage Site,",Ggantija Temples,Gozo
Ghirardelli Square,,Ghirardelli Square,San Francisco
Giant Wheel,,Giant Wheel,Vienna
Giants Causeway,"World Heritage Site,",Giants Causeway,Belfast
Giants Ring,,Giants Ring,Belfast
Gibraltar,,Gibraltar,Seville
Gili Islands,"Water Sports,",Gili Islands,Lombok
Gion,,Gion,Kyoto
Girona,"Museum,",Girona,Costa Brava
Glacier Bay National Park,"Outdoor Activities,Water Sports,",Glacier Bay National Park,The Inside Passage
Glacier Express,,Glacier Express,Bernese Oberland
Glasgow Cathedral,,Glasgow Cathedral,Glasgow
Glasgow Science Centre,,Glasgow Science Centre,Glasgow
Glenbow Museum,"Museum,",Glenbow Museum,Calgary
Glendalough,,Glendalough,Dublin
Glensheen Mansion,,Glensheen Mansion,Duluth
Gloucester,"Museum,",Gloucester,The Cotswolds
Glovers Reef Atoll,"Water Sports,World Heritage Site,",Glovers Reef Atoll,Belize City
Goa Beaches,,Goa Beaches,Goa
Goethe-Haus,"Museum,",Goethe-Haus,Frankfurt
Gold Coast Railroad Museum,"Museum,",Gold Coast Railroad Museum,Miami
Gold Reef City,"Museum,",Gold Reef City,Johannesburg
Golden Gate Bridge,,Golden Gate Bridge,San Francisco
Golden Gate Park,"Museum,",Golden Gate Park,San Francisco
Golden Pavilion (Kinkakuji),,Golden Pavilion (Kinkakuji),Kyoto
Golden Ring,"Museum,",Golden Ring,Moscow
Golden Temple of Amritsar,,Golden Temple of Amritsar,Amritsar
Goldfields,,Goldfields,Perth
Gondar,"Outdoor Activities,",Gondar,Addis Ababa
Gondola Rides,,Gondola Rides,Venice
Gondwana Rainforests of Australia,"National Park,World Heritage Site,",Gondwana Rainforests of Australia,Brisbane
Goreme,"Museum,",Goreme,Cappadocia
Goreme Open-Air Museum,"Museum,",Goreme Open-Air Museum,Cappadocia
Gorongosa National Park,"National Park,",Gorongosa National Park,Pemba and Northern Mozambique
Gortyna,,Gortyna,Crete
Göta Canal,,Göta Canal,Gothenburg
Göteborg Botanical Garden,,Göteborg Botanical Garden,Gothenburg
Gothenburg Archipelago,,Gothenburg Archipelago,Gothenburg
Gotland,"Museum,National Park,World Heritage Site,",Gotland,Stockholm
Governors Mansion,,Governors Mansion,Austin
Gower Peninsula,,Gower Peninsula,Cardiff
Graceland,"Museum,",Graceland,Memphis
Graeme Hall Swamp,,Graeme Hall Swamp,Bridgetown
Grahamstown,"Museum,",Grahamstown,Port Elizabeth
Grampians National Park,,Grampians National Park,Melbourne
Gran Canaria Golf,,Gran Canaria Golf,Gran Canaria
Gran Caverna de Santo Tomás,"Museum,",Gran Caverna de Santo Tomás,Vinales Valley
Granada,"Museum,",Granada,Managua
Granada and the Alhambra,"Museum,World Heritage Site,",Granada and the Alhambra,Costa del Sol
Grand Bahama Island,"National Park,Water Sports,",Grand Bahama Island,The Islands
Grand Canal,,Grand Canal,Hangzhou
Grand Canyon,"Sky Activities,",Grand Canyon,Las Vegas
Grand Case,,Grand Case,Marigot
Grand Central Station,,Grand Central Station,New York City
Grand Ducal Palace,,Grand Ducal Palace,Luxembourg-Ville
Grand Isle,,Grand Isle,New Orleans
Grand Mosque,,Grand Mosque,Dubai
Grand Ole Opry,,Grand Ole Opry,Nashville
Grand Place (Central Square),"Museum,",Grand Place (Central Square),Brussels
Grand Socco,,Grand Socco,Tangier
Grand Teton National Park,"National Park,Water Sports,",Grand Teton National Park,Jackson Wyoming
Grand Théâtre de Bordeaux,,Grand Théâtre de Bordeaux,Bordeaux
Grand Village of the Natchez Indians,"Museum,",Grand Village of the Natchez Indians,Natchez
Granville Island,"Museum,",Granville Island,Vancouver
Great Banyan Tree,,Great Banyan Tree,Kolkata
Great Barrier Reef,,Great Barrier Reef,Cairns
Great Bell Temple,"Museum,",Great Bell Temple,Beijing
Great Circus,,Great Circus,Budapest
Great Lakes Science Center,"Museum,",Great Lakes Science Center,Cleveland
Great Lakes Shipwreck Museum,"Museum,",Great Lakes Shipwreck Museum,Mackinaw City
Great Mosque,,Great Mosque,Xi An
Great Ocean Road,"National Park,",Great Ocean Road,Melbourne
Great Patriotic War Museum,"Museum,",Great Patriotic War Museum,Kiev
Great Salt Lake,"Outdoor Activities,World Heritage Site,",Great Salt Lake,Salt Lake City
Great Smoky Mountains National Park,"National Park,Outdoor Activities,",Great Smoky Mountains National Park,Asheville
Great Smoky Mountains National Park,"National Park,World Heritage Site,",Great Smoky Mountains National Park,Nashville
Great Wall of China,"World Heritage Site,",Great Wall of China,Beijing
Great Wildebeest Migration,"National Park,Outdoor Activities,",Great Wildebeest Migration,The Great Rift Valley
Greater Vancouver Zoo,"Outdoor Activities,",Greater Vancouver Zoo,Vancouver
Green Gables House,"National Park,",Green Gables House,Charlottetown
Green Grotto Caves,,Green Grotto Caves,Ocho Rios
Greenmarket Square,"Museum,",Greenmarket Square,Cape Town
Greenwich,"Museum,World Heritage Site,",Greenwich,London
Greenwich Village,,Greenwich Village,New York City
Greenwood Great House,"Museum,",Greenwood Great House,Montego Bay
Grenoble,"Museum,Outdoor Activities,",Grenoble,French Alps
Griffith Park and Observatory,,Griffith Park and Observatory,Los Angeles
Grindelwald,"Outdoor Activities,",Grindelwald,Swiss Alps
Grizedale Forest,"Outdoor Activities,",Grizedale Forest,The Lake District
Groeninge Museum,"Museum,",Groeninge Museum,Bruges
Gröna Lund,,Gröna Lund,Stockholm
Gros Islet,,Gros Islet,Castries
Grouse Mountain,"Outdoor Activities,",Grouse Mountain,Vancouver
Guadalupe Mountains National Park,"Museum,National Park,",Guadalupe Mountains National Park,Austin
Guanajuato,"Museum,World Heritage Site,",Guanajuato,Mexico City
Guell Park,"Museum,",Guell Park,Barcelona
Guggenheim Museum,"Museum,",Guggenheim Museum,Bilbao
Guimaraes,"Museum,World Heritage Site,",Guimaraes,Porto
Guinness Storehouse,,Guinness Storehouse,Dublin
Gulf Islands,"Water Sports,",Gulf Islands,Vancouver
Gulf Islands National Seashore,"Outdoor Activities,",Gulf Islands National Seashore,Pensacola
Gullfoss Falls,"National Park,",Gullfoss Falls,Reykjavik
Gumbo Limbo Environmental Complex,,Gumbo Limbo Environmental Complex,Gold Coast
Gunung Batur Volcano,,Gunung Batur Volcano,Bali
Gyeongbokgung,"Museum,",Gyeongbokgung,Seoul
Haarlem,"Museum,",Haarlem,Amsterdam
Habana Vieja (Old Havana),"Museum,",Habana Vieja (Old Havana),Havana
Hadrians Wall,"World Heritage Site,",Hadrians Wall,Newcastle-Upon-Tyne
Hagar Qim,"Museum,",Hagar Qim,Valletta
Hagia Sophia (Aya Sofya),"Museum,",Hagia Sophia (Aya Sofya),Istanbul
Hagley Museum and Library,"Museum,",Hagley Museum and Library,Wilmington
Hahndorf,,Hahndorf,Adelaide
Haight Ashbury,,Haight Ashbury,San Francisco
Haji Ali Dargah,,Haji Ali Dargah,Mumbai
Hal Saflieni Hypogeum,"Museum,Water Sports,World Heritage Site,",Hal Saflieni Hypogeum,Valletta
Haleakala National Park,"National Park,Outdoor Activities,",Haleakala National Park,Maui
Half Moon Cay,"Water Sports,",Half Moon Cay,The Islands
Hallgrimskirkja,,Hallgrimskirkja,Reykjavik
Halong Bay,"World Heritage Site,",Halong Bay,Hanoi
Hamat Tiberias National Park,"Museum,",Hamat Tiberias National Park,Galilee
Hamburg Warehouse Complex,"Museum,",Hamburg Warehouse Complex,Hamburg
Hamburger Bahnhof,"Museum,",Hamburger Bahnhof,Berlin
Hamburger Kunsthalle,"Museum,",Hamburger Kunsthalle,Hamburg
Hameln,,Hameln,Hamburg
Hamilton,,Hamilton,Auckland
Hamilton Island,,Hamilton Island,Whitsunday Islands
Hamleys,,Hamleys,London
Hampi,"World Heritage Site,",Hampi,Bengaluru
Hampton Court Palace,,Hampton Court Palace,London
Hamra Street,,Hamra Street,Beirut
Hana Highway,"National Park,Outdoor Activities,",Hana Highway,Maui
Hancock Observatory,,Hancock Observatory,Chicago
"Hanging Church (El Muallaqa, Sitt Mariam, St Mary)","Water Sports,","Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",Cairo
Hanseatic Museum,"Museum,",Hanseatic Museum,Bergen
Happy Valley Amusement Park (Beijing Huanle Gu),,Happy Valley Amusement Park (Beijing Huanle Gu),Beijing
Harar,"Museum,",Harar,Addis Ababa
Harbour Bridge,,Harbour Bridge,Sydney
Harbourfront Centre,"Museum,Outdoor Activities,",Harbourfront Centre,Toronto
Harrington Sound,"Museum,",Harrington Sound,Hamilton
Harrison’s Cave,"Museum,",Harrison’s Cave,Bridgetown
Harrods,,Harrods,London
Harvard University,"Museum,",Harvard University,Boston
Hassan Tower,"World Heritage Site,",Hassan Tower,Rabat
Hatta,,Hatta,Dubai
Hauraki Gulf Islands,,Hauraki Gulf Islands,Auckland
Haus der Musik,"Museum,",Haus der Musik,Vienna
Haut-Koenigsbourg Castle,,Haut-Koenigsbourg Castle,Alsace Lorraine
Haw Par Villa,,Haw Par Villa,Singapore
Hawaii Volcanoes National Park,"Museum,National Park,",Hawaii Volcanoes National Park,Big Island
Hawar Islands,"Water Sports,World Heritage Site,",Hawar Islands,Manama
Hay-on-Wye,"National Park,",Hay-on-Wye,Brecon Beacons
Head-Smashed-In Buffalo Jump,"World Heritage Site,",Head-Smashed-In Buffalo Jump,Calgary
Heard Museum,"Museum,",Heard Museum,Phoenix
Hearst Castle,"Museum,",Hearst Castle,Central Coast
Hector Pieterson Memorial Site and Museum,"Museum,",Hector Pieterson Memorial Site and Museum,Johannesburg
Heidelberg,,Heidelberg,Frankfurt
Heineken Experience,,Heineken Experience,Amsterdam
Hell,,Hell,Grand Cayman
Hellenic Childrens Museum,"Museum,",Hellenic Childrens Museum,Athens
Hells Gate National Park,"Outdoor Activities,",Hells Gate National Park,The Great Rift Valley
Helsinki Zoo,,Helsinki Zoo,Helsinki
Henry B. Plant Museum,"Museum,",Henry B. Plant Museum,Tampa
Heraklion Archaeological Museum,"Museum,",Heraklion Archaeological Museum,Crete
Heritage Park Historical Village,,Heritage Park Historical Village,Calgary
Heritage Village,"Museum,",Heritage Village,Abu Dhabi
Hermanus,"Outdoor Activities,Water Sports,",Hermanus,Cape Town
Herschel Museum of Astronomy,"Museum,",Herschel Museum of Astronomy,Bath
Hershey’s Chocolate World,,Hershey’s Chocolate World,Philadelphia
Heviz,"Water Sports,",Heviz,Lake Balaton
Hezekiahs Tunnel,,Hezekiahs Tunnel,Jerusalem
Hidden People,"Museum,",Hidden People,Reykjavik
High Museum of Art,"Museum,",High Museum of Art,Atlanta
High Park,,High Park,Toronto
High Tatras National Park,"National Park,Outdoor Activities,Water Sports,",High Tatras National Park,Bratislava
Hili Fun City,,Hili Fun City,Abu Dhabi
Hill Top,,Hill Top,The Lake District
Hilltribe Museum and Education Centre,"Museum,",Hilltribe Museum and Education Centre,Chiang Rai
Hilo,"Museum,",Hilo,Big Island
Hiltonia Beach Club,"Water Sports,",Hiltonia Beach Club,Abu Dhabi
Hip Strip,,Hip Strip,Montego Bay
Hippodrome,,Hippodrome,Istanbul
Hiroshima Castle,"Museum,",Hiroshima Castle,Hiroshima
Hiroshima City Museum of Contemporary Art,"Museum,",Hiroshima City Museum of Contemporary Art,Hiroshima
Historic Mill Creek Discovery Park,,Historic Mill Creek Discovery Park,Mackinaw City
Historical Museum (Historisches Museum),"Museum,",Historical Museum (Historisches Museum),Frankfurt
Historical Museum of Crete,"Museum,",Historical Museum of Crete,Crete
Historical Museum of Lyon and International Puppet Museum,"Museum,",Historical Museum of Lyon and International Puppet Museum,Lyon
Historical Village,"Museum,",Historical Village,Sapporo
History Colorado Center,"Museum,",History Colorado Center,Denver
Ho Chi Minh’s Mausoleum,"Museum,",Ho Chi Minh’s Mausoleum,Hanoi
Ho Phra Kaew,"Museum,World Heritage Site,",Ho Phra Kaew,Vientiane
Hockey Hall of Fame,,Hockey Hall of Fame,Toronto
Hofburg,"Museum,",Hofburg,Vienna
Hoge Veluwe National Park,"Museum,National Park,",Hoge Veluwe National Park,Amsterdam
Hohensalzburg Fortress,"Museum,",Hohensalzburg Fortress,Salzburg
Hohenzollern Castle,"Museum,",Hohenzollern Castle,The Black Forest
Holiday World,,Holiday World,Gran Canaria
Holker Estate,,Holker Estate,The Lake District
Holkham Hall,"Museum,",Holkham Hall,East Anglia
Hollywood,"Museum,",Hollywood,Los Angeles
Holyhead,"Museum,Outdoor Activities,",Holyhead,Northern Wales
Honfleur,"Museum,",Honfleur,Normandy
Hong Kong Disneyland,,Hong Kong Disneyland,Hong Kong City
Hong Kong Museum of Art,"Museum,",Hong Kong Museum of Art,Hong Kong City
Hong Kong Museum of History,"Museum,",Hong Kong Museum of History,Hong Kong City
Hong Kong Police Museum,"Museum,",Hong Kong Police Museum,Hong Kong City
Hong Kong Science Museum,"Museum,",Hong Kong Science Museum,Hong Kong City
Hong Kong Wetland Park,,Hong Kong Wetland Park,Hong Kong City
Honolulus Chinatown,,Honolulus Chinatown,Honolulu
Hoover Dam,"National Park,",Hoover Dam,Las Vegas
Hope Botanical Gardens,,Hope Botanical Gardens,Kingston
Horatio Nelson Museum,"Museum,",Horatio Nelson Museum,Nevis
Horton Plains National Park and Worlds End,"National Park,",Horton Plains National Park and Worlds End,Colombo
Hospice Comtesse Museum,"Museum,",Hospice Comtesse Museum,Lille
Hot Springs,"National Park,Outdoor Activities,",Hot Springs,Little Rock
Hotel de Ville,,Hotel de Ville,Brussels
Houey Hong Vocational Training Center for Women,,Houey Hong Vocational Training Center for Women,Vientiane
House of Wonders (Beit el-Ajaib),"Museum,World Heritage Site,",House of Wonders (Beit el-Ajaib),Zanzibar
Hoyt Arboretum,,Hoyt Arboretum,Portland Oregon
Huaqing Hot Springs,"Museum,",Huaqing Hot Springs,Xi An
Huayna Potosi,,Huayna Potosi,La Paz
Hubbard Glacier,,Hubbard Glacier,The Inside Passage
Huguenot Monument and Museum,"Museum,",Huguenot Monument and Museum,Cape Winelands
Hulihee Palace,"Museum,",Hulihee Palace,Big Island
Humayuns Tomb,,Humayuns Tomb,Delhi
Hunter Region,"Water Sports,World Heritage Site,",Hunter Region,Sydney
Hurricane Katrina Tour,,Hurricane Katrina Tour,New Orleans
Hvar Island,,Hvar Island,Split
Hwaseong Fortress,"World Heritage Site,",Hwaseong Fortress,Seoul
Hydra,"Museum,",Hydra,Saronic Gulf Islands
Hydropark,"Outdoor Activities,",Hydropark,Kiev
Ibirapuera Park,"Museum,",Ibirapuera Park,Sao Paulo
Ibiza Old Town,"Museum,World Heritage Site,",Ibiza Old Town,Ibiza
Iglesia de San Francisco,,Iglesia de San Francisco,La Paz
Igreja de Sao Francisco,"World Heritage Site,",Igreja de Sao Francisco,Porto
Iguaçu Falls,"National Park,Water Sports,",Iguaçu Falls,Rio de Janeiro
Iguazu National Park,"National Park,Water Sports,World Heritage Site,",Iguazu National Park,Northern Argentina
Ile Aux Cerfs,"Water Sports,",Ile Aux Cerfs,Port Louis
Ile St Honorat & Ile St Marguerite,"Museum,",Ile St Honorat & Ile St Marguerite,Cote d Azur
Ilha de Mozambique,"Museum,World Heritage Site,",Ilha de Mozambique,Pemba and Northern Mozambique
Imagine It! Childrens Museum of Atlanta,"Museum,",Imagine It! Childrens Museum of Atlanta,Atlanta
Imaginosity,"Museum,",Imaginosity,Dublin
Imperial Palace Auto Collection,,Imperial Palace Auto Collection,Las Vegas
Imperial War Museum,"Museum,",Imperial War Museum,London
Incheon,,Incheon,Seoul
Independence National Historical Park,"Museum,National Park,",Independence National Historical Park,Philadelphia
Indian Museum,"Museum,",Indian Museum,Kolkata
Indian Pueblo Cultural Center,"Museum,World Heritage Site,",Indian Pueblo Cultural Center,Albuquerque
Indianapolis Motor Speedway,"Museum,",Indianapolis Motor Speedway,Indianapolis
Indonesia Miniature Park/Taman Mini,"Museum,",Indonesia Miniature Park/Taman Mini,Jakarta
Inhaca Island,"Museum,Water Sports,",Inhaca Island,Maputo
Inkwenkwezi Game Reserve,"Outdoor Activities,",Inkwenkwezi Game Reserve,Transkei
Inokashira Park,"Museum,Water Sports,",Inokashira Park,Tokyo
Insadong,,Insadong,Seoul
Interlaken,"Outdoor Activities,",Interlaken,Bernese Oberland
International Red Cross and Red Crescent Museum,"Museum,",International Red Cross and Red Crescent Museum,Geneva
International Rose Test Garden,,International Rose Test Garden,Portland Oregon
International Spy Museum,"Museum,",International Spy Museum,Washington DC
International Tennis Hall of Fame,"Museum,",International Tennis Hall of Fame,Newport
Intramuros,,Intramuros,Manila
Iolani Palace,,Iolani Palace,Oahu
Ipanema,"Museum,",Ipanema,Rio de Janeiro
Isandlwana Hill,,Isandlwana Hill,Battlefields
iSimangaliso / St Lucia Wetland Park,"World Heritage Site,",iSimangaliso / St Lucia Wetland Park,Durban
Isla Mujeres,"Museum,Water Sports,",Isla Mujeres,Cancun
Isla Tabarca,,Isla Tabarca,Costa Blanca
Isla Verde,,Isla Verde,San Juan
Isle of Skye,"Museum,",Isle of Skye,The Highlands
Istanbul Dolphinarium,,Istanbul Dolphinarium,Istanbul
Itaewon,,Itaewon,Seoul
Ithaca,"Museum,",Ithaca,Cephalonia
J.R. ONeal Botanical Gardens,"National Park,",J.R. ONeal Botanical Gardens,Tortola
Jablum Coffee Company,,Jablum Coffee Company,Kingston
Jack S. Blanton Museum of Art,"Museum,",Jack S. Blanton Museum of Art,Austin
Jacobean Mansions,,Jacobean Mansions,Bridgetown
Jaffa,"Museum,",Jaffa,Tel Aviv
Jain Temples of Ranakpur,"Water Sports,",Jain Temples of Ranakpur,Udaipur
Jaipur City Palace,"Museum,",Jaipur City Palace,Jaipur
Jalan Jaksa,,Jalan Jaksa,Jakarta
Jallianwala Bagh,"Museum,",Jallianwala Bagh,Amritsar
Jama Masjid,,Jama Masjid,Delhi
James Bond Beach,,James Bond Beach,Ocho Rios
James Joyce Museum,"Museum,",James Joyce Museum,Dublin
Jane Austen Centre,"Museum,",Jane Austen Centre,Bath
Jardim Tunduru Botanical Gardens,,Jardim Tunduru Botanical Gardens,Maputo
Jardin des Plantes,"Museum,",Jardin des Plantes,Paris
Jasper,"Museum,National Park,Outdoor Activities,Water Sports,",Jasper,Canadian Rocky Mountains
Jayapura,,Jayapura,Lombok
Jean Lafitte National Historical Park and Preserve,"Water Sports,",Jean Lafitte National Historical Park and Preserve,New Orleans
Jebel Al Dukhan and the Tree of Life,,Jebel Al Dukhan and the Tree of Life,Manama
Jeffreys Bay,"Water Sports,",Jeffreys Bay,Port Elizabeth
Jeita Grotto,"Museum,",Jeita Grotto,Beirut
Jeju Island,"Museum,Outdoor Activities,Water Sports,",Jeju Island,Busan
Jerash,,Jerash,Amman
Jeronimos Monastery,"World Heritage Site,",Jeronimos Monastery,Lisbon
Jesuit Missions of the Chiquitos,,Jesuit Missions of the Chiquitos,Santa Cruz de la Sierra
Jet dEau,,Jet dEau,Geneva
Jewish Memorials,"Museum,",Jewish Memorials,Vilnius
Jim Thompson’s House,,Jim Thompson’s House,Bangkok
Jiuxiang Scenic Area,,Jiuxiang Scenic Area,Kunming
Joan Miro Foundation,"Museum,",Joan Miro Foundation,Barcelona
Jogyesa,,Jogyesa,Seoul
Johannesburg Zoo,"Museum,",Johannesburg Zoo,Johannesburg
John Brown House,,John Brown House,Providence
Jokhang Temple,"World Heritage Site,",Jokhang Temple,Tibet
Jökulsárlón,,Jökulsárlón,Reykjavik
Jonesboro,"Museum,",Jonesboro,Atlanta
Jongmyo Shrine,"World Heritage Site,",Jongmyo Shrine,Seoul
Jorvik Viking Centre,,Jorvik Viking Centre,York
Joshua Tree National Park,"National Park,Outdoor Activities,",Joshua Tree National Park,San Diego
Joypolis Sega,,Joypolis Sega,Tokyo
Jozani Chwaka Bay Conservation Area,,Jozani Chwaka Bay Conservation Area,Zanzibar
Joze Plecnik House,,Joze Plecnik House,Ljubljana
Julio Prestes Cultural Center,,Julio Prestes Cultural Center,Sao Paulo
Juma Masjid Mosque,,Juma Masjid Mosque,Durban
Jumalon Museum,"Museum,",Jumalon Museum,Cebu
Jumeirah Beach Park,,Jumeirah Beach Park,Dubai
Jumeirah Mosque,,Jumeirah Mosque,Dubai
Jungle Cat World Wildlife Park,,Jungle Cat World Wildlife Park,Toronto
Jungle Island,,Jungle Island,Miami
Jurmala,,Jurmala,Riga
Jurong Birdpark,"Museum,",Jurong Birdpark,Singapore
Kadriorg Palace and Park,"Museum,",Kadriorg Palace and Park,Tallinn
Kakadu National Park,"World Heritage Site,",Kakadu National Park,Darwin
Kala Ghoda Bazaar,"Museum,",Kala Ghoda Bazaar,Mumbai
Kalalau Trail,"Outdoor Activities,",Kalalau Trail,Kauai
Kalemegdan,"Museum,",Kalemegdan,Belgrade
Kalighat Temple,,Kalighat Temple,Kolkata
Kamakura,"Outdoor Activities,",Kamakura,Tokyo
Kampong Gelam and Arab Street,"Museum,",Kampong Gelam and Arab Street,Singapore
Kanchanaburi,"Museum,National Park,",Kanchanaburi,Bangkok
Kandy,"Museum,",Kandy,Cultural Triangle
Kangaroo Island,,Kangaroo Island,Adelaide
Karaouine Mosque,"World Heritage Site,",Karaouine Mosque,Fez
Karen Blixen Museum,"Museum,",Karen Blixen Museum,Nairobi
Karijini National Park,"National Park,",Karijini National Park,Perth
Karlovy Vary (Karlsbad),,Karlovy Vary (Karlsbad),Prague
Karlskirche,,Karlskirche,Vienna
Karpathos,,Karpathos,Rhodes
Kartchner Caverns State Park,,Kartchner Caverns State Park,Tucson
Kasbah des Oudaias,"Museum,World Heritage Site,",Kasbah des Oudaias,Rabat
Katmandu Park,,Katmandu Park,Mallorca
Katsura Imperial Villa,,Katsura Imperial Villa,Kyoto
Kazimierz District and the Old Synagogue,"Museum,",Kazimierz District and the Old Synagogue,Krakow
Kecskemet,"Museum,",Kecskemet,Budapest
Kelvingrove Art Gallery and Museum,"Museum,",Kelvingrove Art Gallery and Museum,Glasgow
Kennebunkport,"Water Sports,",Kennebunkport,Portland
Kennedy Center,,Kennedy Center,Washington DC
Kennedy Space Centre,,Kennedy Space Centre,Orlando
Kennesaw Mountain Battlefield,"Museum,",Kennesaw Mountain Battlefield,Atlanta
Kensington Market,,Kensington Market,Toronto
Kentucky Derby Museum,"Museum,",Kentucky Derby Museum,Louisville
Kentucky Horse Park,"Museum,",Kentucky Horse Park,Louisville
Kentucky Science Center,,Kentucky Science Center,Louisville
Kerkouane,"Museum,World Heritage Site,",Kerkouane,Tunis
Keszthely,"Museum,",Keszthely,Lake Balaton
Ketchikan,"Museum,",Ketchikan,The Inside Passage
Kettles Yard,"Museum,",Kettles Yard,Cambridge
Keukenhof,,Keukenhof,Amsterdam
Key Largo,"Water Sports,",Key Largo,Florida Keys
Key West Lighthouse Museum,"Museum,",Key West Lighthouse Museum,Florida Keys
Kgalagadi Transfrontier Park,"National Park,Outdoor Activities,",Kgalagadi Transfrontier Park,Gaborone
Khan al-Khalili,"World Heritage Site,",Khan al-Khalili,Cairo
Khor al Adaid (Inland Sea),,Khor al Adaid (Inland Sea),Doha
Khutse Game Reserve,,Khutse Game Reserve,Gaborone
Kiev-Pechersk Lavra (Caves Monastery),,Kiev-Pechersk Lavra (Caves Monastery),Kiev
Kigali Genocide Memorial Centre,"Museum,",Kigali Genocide Memorial Centre,Kigali
Kilkee,"Water Sports,",Kilkee,Limerick
Kingdom Centre,,Kingdom Centre,Riyadh
Kingman,"Museum,Outdoor Activities,",Kingman,Phoenix
Kings College Chapel,,Kings College Chapel,Cambridge
Kings Cross,,Kings Cross,Sydney
Kings Park,,Kings Park,Bloemfontein
Kings Park and Botanic Garden,,Kings Park and Botanic Garden,Perth
Kings Square,,Kings Square,Saint George
Kinsale,,Kinsale,Cork
Kirstenbosch Botanical Gardens,,Kirstenbosch Botanical Gardens,Cape Town
Kish,"Water Sports,",Kish,Dubai
Kitty Hawk,"Outdoor Activities,Water Sports,",Kitty Hawk,North Carolina Coast
Kiyomizu-dera,"World Heritage Site,",Kiyomizu-dera,Kyoto
Klondike,"Museum,",Klondike,Whitehorse
